age_band,support,global_threshold_recall,subgroup_threshold,subgroup_threshold_recall,subgroup_threshold_precision,support_under_300_unreliable
[0-10),26,0.0,0.05,1.0,0.1,True
[10-20),79,1.0,0.15000000000000002,0.5,0.058823529411764705,True
[20-30),232,0.6,0.1,0.72,0.225,True
[30-40),533,0.7090909090909091,0.15000000000000002,0.6,0.2727272727272727,False
[40-50),1482,0.5961538461538461,0.1,0.6666666666666666,0.16613418530351437,False
[50-60),2592,0.5301204819277109,0.1,0.6265060240963856,0.16216216216216217,False
[60-70),3415,0.6293333333333333,0.1,0.7466666666666667,0.14822657490735838,False
[70-80),3710,0.6917960088691796,0.15000000000000002,0.5055432372505543,0.20503597122302158,False
[80-90),2532,0.6990595611285266,0.15000000000000002,0.4608150470219436,0.1828358208955224,False
[90-100),396,0.5490196078431373,0.1,0.7058823529411765,0.14457831325301204,False
